Rank,Game,gsws name
9999,AION,Aion
46,Alien: Isolation,Alien Isolation
28,Arche Age,ArcheAge
17,Arma 3,Arma 3
20,BattleField 4,BattleField 4
82,BattleField Hardline,Battlefield Hardline
9999,Blade and Soul,Blade & Soul
66,Bless,
36,Borderlands 2,Borderlands 2
52,Call of Duty Online,
46,Call of Duty: Advanced Warfare,
64,Call of Duty: Black Ops 2,
40,Call of Duty: Modern Warfare 3,Call of Duty Modern Warfare 3
47,Castle Crashers,
65,Chang Chun 2,
16,CIV 5,Civilization V
50,Command and Conquer: The Ultimate Collection,
72,Counter Strike OL2,
6,Counter Strike: Global Offensive,Counter Strike Global Offensive
24,Counter-strike  ,
9999,CounterStrike Online,Counterstrike Online
8,Crossfire,Crossfire
58,Dark Souls II,
22,DayZ Mod (ARMA),DayZ
13,Diablo III: Reaper of Souls,Diablo III Reaper of Souls
5,DOTA 2,DOTA 2
37,Dragon Age: Inquistion,Dragon Age Inquisition
52,Dungeon Fighter Online,
35,Dungeon of the Endless,
71,Dungeon Striker,
9999,Dying Light,Dying Light
69,Echo of Soul (Eos),Echo of Soul
56,Elder Scrolls Online,Elder Scrolls Online
44,Empire: Total War,Empire Total War
38,Euro Truck Simulator 2,Euro Truck Simulator 2
61,Europa Universalis IV,Europa Universalis IV
41,Eve Online,Eve Online
9999,Evolve,
9999,Fable Anniversary,Fable Anniversary
65,Farming Simulator 15,Farming Simulator 15
33,FIFA 15,FIFA 15
29,Final Fantasy 14,Final Fantasy XIV Online A Realm Reborn
48,Five Nights at Freddys,
7,Football Manager 2015,
27,Garry's Mod,Garry's Mod
14,Guild Wars 2,Guild Wars 2
63,Gun Down,
15,HearthStone: Heroes of WarCraft,HearthStone Heroes of WarCraft
75,Heroes of Newerth,
53,Heroes of the Storm,Heroes of the Storm
95,"Homeworld 1, 2, & Shipbreakers","Homeworld 1, 2, & Shipbreakers"
9999,Homeworld Remastered,Homeworld Remastered
9999,Icarus,Icarus
9999,Infinite Crisis,
61,Iron Knight Online,
1,League of Legends,League of Legends
23,Left 4 Dead 2,Left 4 Dead 2
55,Lineage 1,
9999,Lineage 2,Lineage 2
58,Lineage Eternal,
9999,Mabinogi Heroes,Mabinogi Heroes
54,Maple Story ,
32,Middle-Earth: Shadow of Mordor,Middle-Earth Shadow of Mordor
11,Minecraft,Minecraft
51,Monster Hunter Online,
56,Mount & Blade: Warband,Mount & Blade Warband
57,MU 2,
59,osu!,
57,Path of Exile,Path of Exile
19,Payday 2,Payday 2
55,Revealation,
39,Robocraft,Robocraft
62,Runescape,Runescape
43,Rust,Rust
9999,Sid Meier's Starships,Sid Meier's Starships
21,Sims 4,Sims 4
9,Skyrim (The Elder Scrolls V),Skyrim (The Elder Scrolls V)
12,Smite,Smite
9999,Special Force2,Special Force 2
25,Star Wars: The Old Republic,Star Wars The Old Republic
31,StarCraft: 2 (+Heart of the Swarm),StarCraft 2 (+Heart of the Swarm)
9999,Sudden Attack,Sudden Attack
3,Swordsman Online,Swordsman Online
10,Team Fortress 2,Team Fortress 2
45,Terraria,
42,The Binding of Isaac: Rebirth,
49,The Sims 3,The Sims 3
9999,The Witness,The Witness
30,Total War: Rome II,Total War Rome II
34,Unturned,Unturned
26,War Thunder,War Thunder
18,Warframe,Warframe
62,Wind Blade,
60,Wolfenstein: The New Order,Wolfenstein The New Order
9999,World of Planes,World of Planes
2,World of Tanks,World of Tanks
4,World of Warcraft / Mists of Pandaria,World of Warcraft  Mists of Pandaria
9999,World of Warcraft: Warlords of Draenor,World of Warcraft Warlords of Draenor
68,World of WarShips,World of Warships
9999,XCOM: Enemy Within,
