0xA1E,Intel® HD Graphics 4200
0xA16,Intel® HD Graphics 4400
0x161E,Intel® HD Graphics 5300
0x1616,Intel® HD Graphics 5500
0xA2E,Intel® Iris™ Graphics 5100
0xD26,Intel® Iris™ Pro Graphics 5200
0xA26,Intel® HD Graphics 5000
0xD16,Intel® HD Graphics 4600
0x162B,Intel® Iris™ Graphics 6100
0x1626,Intel® HD Graphics 6000
0x416,Intel® HD Graphics 4600
0x412,Intel® HD Graphics 4600
0xD12,Intel® HD Graphics 4600
0x41E,Intel® HD Graphics 4400
0xD22,Intel® Iris™ Pro Graphics 5200
0x1622,Intel® Iris™ Pro Graphics 6200
0x1612,Intel® HD Graphics 5600
